2022 Federal Election House of Representatives Distribution of Preferences By Division [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:09 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,CountNumber,BallotPosition,CandidateID,Surname,GivenNm,PartyAb,PartyNm,Elected,HistoricElected,CalculationType,CalculationValue
ACT,101,Canberra,3,6,36228,PAYNE,Alicia,ALP,Australian Labor Party,Y,Y,Transfer Count,1743
ACT,101,Canberra,3,6,36228,PAYNE,Alicia,ALP,Australian Labor Party,Y,Y,Transfer Percent,27.77
ACT,101,Canberra,4,1,36238,SMITH,Catherine,UAPP,United Australia Party,N,N,Preference Count,0
ACT,101,Canberra,4,1,36238,SMITH,Catherine,UAPP,United Australia Party,N,N,Preference Percent,0
ACT,101,Canberra,4,1,36238,SMITH,Catherine,UAPP,United Australia Party,N,N,Transfer Count,0
ACT,101,Canberra,4,1,36238,SMITH,Catherine,UAPP,United Australia Party,N,N,Transfer Percent,0
ACT,101,Canberra,4,2,37456,MILES,James,ON,Pauline Hanson's One Nation,N,N,Preference Count,0
ACT,101,Canberra,4,2,37456,MILES,James,ON,Pauline Hanson's One Nation,N,N,Preference Percent,0
ACT,101,Canberra,4,2,37456,MILES,James,ON,Pauline Hanson's One Nation,N,N,Transfer Count,0
ACT,101,Canberra,4,2,37456,MILES,James,ON,Pauline Hanson's One Nation,N,N,Transfer Percent,0
ACT,101,Canberra,4,3,32830,BOHM,Tim,IND,Independent,N,N,Preference Count,0
ACT,101,Canberra,4,3,32830,BOHM,Tim,IND,Independent,N,N,Preference Percent,0
ACT,101,Canberra,4,3,32830,BOHM,Tim,IND,Independent,N,N,Transfer Count,0
ACT,101,Canberra,4,3,32830,BOHM,Tim,IND,Independent,N,N,Transfer Percent,0
ACT,101,Canberra,4,4,37211,MINSON,Slade,LP,Liberal,N,N,Preference Count,0
ACT,101,Canberra,4,4,37211,MINSON,Slade,LP,Liberal,N,N,Preference Percent,0
ACT,101,Canberra,4,4,37211,MINSON,Slade,LP,Liberal,N,N,Transfer Count,-23390
ACT,101,Canberra,4,4,37211,MINSON,Slade,LP,Liberal,N,N,Transfer Percent,-100
ACT,101,Canberra,4,5,36241,HOLLO,Tim,GRN,The Greens,N,N,Preference Count,34901
ACT,101,Canberra,4,5,36241,HOLLO,Tim,GRN,The Greens,N,N,Preference Percent,37.8
ACT,101,Canberra,4,5,36241,HOLLO,Tim,GRN,The Greens,N,N,Transfer Count,9478
ACT,101,Canberra,4,5,36241,HOLLO,Tim,GRN,The Greens,N,N,Transfer Percent,40.52
ACT,101,Canberra,4,6,36228,PAYNE,Alicia,ALP,Australian Labor Party,Y,Y,Preference Count,57421
ACT,101,Canberra,4,6,36228,PAYNE,Alicia,ALP,Australian Labor Party,Y,Y,Preference Percent,62.2
ACT,101,Canberra,4,6,36228,PAYNE,Alicia,ALP,Australian Labor Party,Y,Y,Transfer Count,13912
