CED_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED225,91,237,521,558,589,485,158,15,4,2654,90,231,553,680,664,458,167,32,8,2883,3749,6764,15719,18648,18242,13358,4089,481,38,81095
CED226,97,244,431,332,427,381,140,21,6,2078,118,302,712,673,709,490,182,40,13,3242,3902,8955,17491,16304,18342,13718,4932,840,78,84572
CED227,139,315,929,765,644,392,107,15,0,3310,140,354,1046,1136,845,562,136,41,9,4275,4577,7568,20597,21579,16974,10325,2469,315,37,84432
CED228,74,326,790,714,517,366,83,4,0,2877,135,571,1621,1399,807,428,87,16,5,5070,3709,8701,25294,27606,15632,9767,1944,134,11,92800
CED229,45,269,978,621,485,363,116,20,4,2907,54,322,1487,1080,693,456,212,49,6,4367,1963,7954,33707,23302,16705,11355,4331,698,59,100070
CED230,145,275,598,472,388,449,157,26,0,2516,191,278,706,515,643,571,215,133,22,3284,4138,5767,14346,13049,14656,14761,4927,934,122,72700
CED231,55,180,629,562,499,420,130,24,4,2492,93,255,798,739,683,456,144,26,0,3202,3258,7191,19626,18579,16713,11318,3072,304,20,80068
CED232,136,242,753,755,665,449,123,8,0,3140,122,281,759,841,703,449,137,36,5,3337,4484,6568,16323,19767,17655,11769,3034,433,31,80063
CED233,53,376,1327,679,390,305,101,25,0,3247,103,700,2149,932,504,298,88,28,4,4804,2885,16346,53142,24693,13207,8612,2804,452,25,122175
CED234,74,232,537,597,721,516,157,28,0,2872,95,331,865,866,785,554,188,47,13,3741,3832,7751,16200,18497,18402,13604,4011,672,52,83013
CED235,113,260,571,480,552,516,152,19,0,2667,167,189,482,463,528,494,208,60,22,2613,3716,4767,11763,12007,13359,12584,4269,697,75,63234
CED236,153,299,623,510,584,503,156,32,6,2869,179,252,588,551,628,512,201,71,27,3010,4482,5830,13539,13018,14861,13549,4401,669,81,70437
CED237,60,276,725,722,593,410,86,3,0,2885,114,412,1115,1068,828,573,130,26,6,4258,3282,7705,19474,19707,14999,10426,2251,155,10,78009
CED238,145,245,480,424,468,371,160,21,3,2320,187,215,471,409,541,488,267,113,32,2723,4580,5352,13024,12969,15058,14642,5374,992,125,72115
CED239,41,268,811,639,493,346,88,11,0,2700,73,359,1205,831,522,335,72,23,8,3415,2428,8419,27688,21199,14552,9055,1923,182,14,85448
CED294,3,8,12,13,11,3,0,0,0,56,4,13,33,35,23,9,4,4,0,126,82,217,600,341,277,227,47,11,0,1797
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,15
CED301,147,424,954,670,582,421,117,17,0,3334,254,472,1113,954,732,505,111,37,7,4178,5386,8281,20128,19207,16957,12092,2551,310,25,84937
CED302,119,297,633,709,663,436,109,17,0,2986,144,315,742,865,745,427,134,38,14,3436,4959,7337,16351,20514,18927,12077,2908,346,29,83448
CED303,205,311,673,713,740,563,171,20,0,3400,172,305,611,770,776,566,168,24,12,3407,5335,6405,12968,16214,17790,14192,3523,353,23,76809
CED304,134,443,1140,607,505,339,110,5,0,3296,131,579,1407,931,643,403,124,27,4,4254,4443,14162,35357,23293,19001,11851,3215,492,39,111844
CED305,253,357,780,662,552,436,140,13,0,3184,230,278,603,525,505,388,129,31,11,2703,5197,6499,15298,15668,15326,12439,3112,364,43,73943
CED306,275,403,829,673,662,490,150,28,0,3525,249,371,661,600,657,483,172,60,18,3270,5361,7243,15874,16033,16712,13417,3633,481,45,78793
CED307,184,353,739,730,770,511,150,8,0,3456,157,294,629,776,740,476,114,16,3,3213,5570,7142,15233,18493,19477,12679,2757,271,8,81628
CED308,166,416,877,850,795,576,160,22,0,3867,222,458,1093,1055,991,676,231,50,16,4790,5462,8612,19451,19889,19741,14153,4084,493,35,91924
CED309,177,289,703,738,708,486,137,14,0,3247,198,295,709,721,719,490,148,52,6,3339,5314,6184,14368,17046,18439,14204,3793,380,33,79759
CED310,197,341,728,631,622,438,124,11,0,3082,266,348,721,741,744,544,158,37,12,3574,5877,7007,15251,16691,17816,13408,3552,412,31,80042
CED311,202,318,595,520,471,396,98,13,0,2613,233,302,635,647,642,501,189,89,17,3242,4733,5676,13635,14807,15229,12612,3407,704,65,70874
CED312,200,451,1031,886,766,532,127,18,0,4017,251,555,1308,1099,909,601,162,18,4,4904,5404,9046,20955,20239,17994,12227,2852,210,13,88952
CED313,131,358,969,648,539,344,99,16,4,3099,108,441,1109,896,654,356,110,23,3,3709,4740,12172,30148,23550,19126,11310,2687,326,27,104078
