CED_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
CED311,49,43,165,244,418,882,1945,2153,776,6684,10,21,40,52,60,76,79,64,32,434,763,856,2009,2073,2112,2167,1687,1055,409,13126,4396,8229,19195,20135,21238,21946,15883,7510,2038,120559
CED312,70,53,272,355,479,629,1367,1388,593,5200,14,36,155,229,256,222,180,108,40,1242,774,954,2138,1756,1471,1102,995,920,509,10612,5681,12975,28527,26529,23963,19794,15704,8333,2601,144096
CED313,16,25,77,96,150,251,526,838,618,2597,5,18,90,75,57,76,93,101,87,611,442,918,2149,1360,1055,831,672,491,350,8270,4702,16931,36892,28357,23400,16873,10739,5462,2556,145906
CED314,80,115,209,333,420,585,1457,2377,1286,6852,28,77,239,241,180,176,146,66,44,1195,470,588,1231,1001,1018,1019,963,941,615,7859,4515,10037,20774,19178,19273,18553,16238,10031,4008,122605
CED315,73,54,151,221,330,636,1108,1429,661,4672,17,18,98,104,110,126,92,77,28,658,791,1492,2262,1842,1663,1303,947,701,402,11394,5641,13020,24153,21399,20711,18692,13623,6850,2250,126343
CED316,67,60,155,238,436,790,2345,3058,1474,8622,5,31,73,66,86,106,96,128,55,641,417,437,1068,1015,1234,1442,1698,1637,807,9743,3791,6859,14830,15408,18434,22735,24864,15151,4751,126823
CED317,122,78,288,308,504,978,2058,2457,1123,7917,21,22,122,65,128,172,171,136,88,920,1034,1042,2559,2285,2452,2330,1976,1343,636,15667,5006,8948,21250,20021,21895,23287,18918,9926,3197,132457
CED318,94,63,196,323,373,700,1123,1083,568,4519,20,27,103,167,191,168,156,121,39,985,859,1196,3027,2409,2391,2191,1686,992,404,15165,4907,9736,23458,23671,24936,22751,16792,7674,2404,136328
CED319,38,31,102,142,240,390,906,1595,1071,4512,5,14,71,110,101,119,98,86,66,670,267,480,1261,985,788,642,658,718,771,6572,3510,10391,25899,24551,21263,17031,12986,8281,4200,128108
CED320,72,59,229,274,456,713,1834,2235,875,6749,11,22,114,95,97,95,78,82,43,634,581,685,1529,1405,1288,1143,1346,1090,661,9720,5298,10957,23734,22373,23121,22246,21376,11716,3429,144261
