CED_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
CED121,288,1640,535,836,83,3863,389,248,1845,1504,2614,261,6867,16,4,54,64,197,23,365,44,24,132,243,1742,61,2242,34,11,129,175,815,234,1394,1706,956,7239,6582,23182,1822,41498
CED122,477,2892,634,503,145,7311,1677,435,4018,1243,1006,291,8676,137,24,553,237,312,56,1320,177,39,526,397,954,89,2182,364,56,850,335,508,299,2412,11363,2271,25825,9275,12632,2306,63669
CED123,317,1972,705,837,107,4948,510,294,2120,1471,2195,285,6878,20,7,134,119,282,29,593,56,18,176,321,1637,45,2254,76,24,245,298,1159,333,2132,3183,1138,10046,8450,22673,2188,47672
CED124,357,1717,641,740,105,3944,364,270,1820,1499,2535,312,6802,9,5,74,64,174,15,346,19,19,99,210,1305,43,1688,18,13,114,121,655,196,1112,1295,978,6401,5632,17943,1879,34126
CED125,321,1812,618,799,119,4514,521,240,2153,1497,1987,313,6707,26,10,107,101,217,27,482,45,18,199,263,1358,89,1963,80,24,297,275,967,355,2001,3156,1061,10082,8281,19656,2390,44628
CED126,521,2604,792,575,144,5645,847,373,2596,1454,1254,291,6824,72,25,335,193,272,40,936,97,35,375,411,1339,78,2325,207,49,727,510,752,282,2520,5512,1926,18439,10455,15825,2144,54308
CED127,707,2983,905,887,132,7260,777,437,2388,1478,1762,203,7048,79,42,205,169,376,34,910,81,22,222,274,1473,54,2133,93,22,250,236,868,230,1707,4094,1934,11550,8400,19605,1711,47298
CED128,197,1387,450,540,112,3357,467,161,1852,1190,1506,263,5438,15,3,102,91,183,22,421,65,16,254,304,1261,70,1963,92,14,385,357,893,362,2107,2985,770,10821,7457,15355,2271,39664
CED129,497,3045,709,540,131,6298,1366,399,3355,1344,1181,268,7916,55,11,206,124,170,29,596,190,36,444,376,1087,73,2203,304,46,695,410,624,236,2321,8788,2027,21446,9797,13293,2036,57392
CED130,540,2520,819,957,164,6063,461,309,2048,1493,2329,296,6933,9,5,73,59,188,24,357,39,15,130,160,1360,61,1762,27,10,134,152,691,283,1301,2364,1312,8770,6347,19396,2404,40598
CED131,488,3045,679,704,95,6609,1374,545,4927,1794,2349,323,11302,36,22,199,97,210,22,581,85,25,314,275,1255,67,2019,76,20,318,175,539,214,1342,5212,1863,17015,7902,17388,1562,50946
CED132,491,2550,490,294,92,5938,2003,506,4217,951,608,246,8537,191,62,530,177,158,26,1135,264,51,581,299,553,58,1817,492,91,1126,357,281,245,2588,15784,3353,34269,8677,7184,1966,71228
CED133,469,2310,780,905,110,5086,514,368,2523,1675,2927,297,8307,22,8,108,72,196,38,444,27,19,150,222,1340,50,1811,29,19,130,158,682,239,1266,1690,1319,8891,6160,19363,2038,39457
CED134,420,2337,624,910,139,4857,359,282,1871,1447,2152,303,6409,14,14,79,42,216,20,375,30,20,113,171,1480,83,1890,23,12,125,111,684,293,1244,1477,1162,8416,5956,19267,2500,38777
CED135,281,1918,488,433,98,4660,1572,411,4075,1418,1364,332,9172,71,9,229,113,172,24,627,222,40,481,332,822,80,1983,515,49,956,453,612,379,2969,12817,1861,24377,9162,11244,2527,61984
