CED_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
CED230,294,64,988,404,323,322,159,354,22,2928,10,11,5,3,6,8,8,11,0,59,99,79,75,86,73,32,62,64,18,591,256,85,312,169,121,185,157,252,209,1745,6095,9506,9380,5963,4897,2749,2544,3656,680,45477
CED231,400,118,1391,634,294,270,30,194,26,3355,16,17,17,25,14,19,6,15,4,134,327,638,80,170,253,138,21,63,59,1757,159,280,128,189,126,79,53,122,227,1360,13034,39844,5958,7307,8835,4957,944,2807,1219,84894
CED232,446,142,1144,481,287,234,32,117,33,2911,11,11,3,8,6,10,0,7,3,59,307,459,64,109,208,97,17,45,53,1358,152,230,111,84,98,92,24,44,207,1038,13841,31541,5345,5282,7825,4310,655,1718,1144,71660
CED233,253,71,633,278,239,242,52,135,22,1915,7,4,6,11,6,13,3,11,6,65,128,168,55,76,129,67,30,32,19,699,111,109,113,87,100,96,45,60,157,877,8068,16287,5359,3869,5876,3225,821,1491,676,45679
CED234,349,50,847,342,244,275,116,369,32,2620,8,5,4,9,3,5,3,15,0,54,83,58,52,45,40,27,34,54,13,416,255,104,227,172,95,153,153,354,181,1703,6065,8266,6340,4591,3276,1924,1745,3509,530,36255
CED235,273,64,1061,442,368,318,215,271,28,3044,5,0,12,8,9,16,22,25,3,108,91,111,87,115,119,69,103,90,22,814,104,110,272,180,152,170,157,225,202,1574,5244,11901,8391,6156,6196,3341,2732,3056,766,47785
CED236,306,52,897,337,200,254,84,326,25,2484,6,10,6,5,9,0,0,17,0,52,89,69,41,65,49,19,48,50,11,439,295,88,203,145,100,116,149,289,139,1525,6263,7960,6002,4621,3003,1793,1701,3071,501,34907
CED237,274,93,1067,388,284,272,113,203,23,2712,0,6,11,9,14,8,11,27,8,95,203,462,110,155,224,115,50,58,42,1414,124,228,201,136,151,90,76,109,239,1356,8116,24505,7468,6000,7342,3566,1697,2765,952,62395
CED294,9,3,34,8,3,3,4,6,0,75,0,0,0,0,0,0,0,0,0,0,3,4,5,7,3,3,0,6,0,34,4,5,15,4,0,0,9,14,15,66,132,367,223,181,112,65,72,142,34,1337
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,4,0,22
